internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
70402563,Clavaria zollingeri,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,CLAVARIACEAE,Clavaria,zollingeri,,,,,Lév.,"In GBIF (2019), Eurasian, American and Australian collections are treated as one species. This is probably not true, as there are indications that different parts of the world have different species.<br/><br/>This assessment is for&#160;<em>Clavaria zollingeri</em>&#160;sensu European authors. The type is from Java, however it is considered here that occurrences in Australasia and the Americas are a different species to that found in Europe. It has been proposed that this taxon has a new name.<br/><br/>The identity of <em>Clavulina amethystina</em> ss. auct. is unclear, but this name is sometimes probably used about European&#160;<em>Clavaria zollingeri</em>."
70406652,Hygrocybe citrinovirens,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,HYGROPHORACEAE,Hygrocybe,citrinovirens,,,,,(J.E.Lange) Jul.Schäff.,<em>Hygrocybe virescens</em> (Hesler &amp; A.H. Sm.) Montoya &amp; Bandala from North America is similar to this species and may be conspecific.
70406908,Squamanita schreieri,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,TRICHOLOMATACEAE,Squamanita,schreieri,,,,,Imbach,"<em>Squamanita schreieri</em> is only known from continental Europe, except a single record from India. This latter record is considered doubtful and therefore disregarded in this assessment."
70408373,Hydnellum compactum,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,THELEPHORALES,BANKERACEAE,Hydnellum,compactum,,,,,(Pers.) P.Karst.,"<em>Hydnellum compactum</em> is well-characterized by the pale basidiocarps with compact, yellowish context; a very strong acrid, adstringent taste and a mycorrhizal association with broad-leaved trees (Maas Geesteranus 1975). However, in the past the species has often been confused with <em>Hydnellum mirabile</em>&#160; (Fr.) P.Karst. In addition several other species of &#160;<em>Hydnellum</em>&#160; have sometimes been misidentified as ”<em>H. compactum</em>”. Critical revision of old collections is highly needed and the number of localities for the species might be even smaller than estimated at the moment. Molecular data suggest that <em>H. compactum</em> &#160;might also be present in N. America but this requires further investigation."
70408415,Hydnellum mirabile,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,THELEPHORALES,BANKERACEAE,Hydnellum,mirabile,,,,,(Fr.) P.Karst.,"<em>Hydnellum mirabile</em> is a well-characterized hydnoid fungus with large basidiocarps with an up to 15 cm broad, pale yellow to olive-brown, hispid pileus and a pale context with a weak adstringent taste. It has a mycorrhizal association&#160; with coniferous trees (Maas Geesteranus 1975). However, the species has sometimes been confused with&#160;<em>H. compactum</em>&#160;(Pers.) P.Karst. That species differs i.a. in the pileus surface without hispid hairs, the strongly acrid taste and its association with deciduous trees (Maas Geesteranus 1975). In the past the two related species were known under the confusing name <em>H. acre</em> (Maas Geesteranus 1975). <em>Hydnellum&#160; mirabile</em> &#160;has been reported from North America, but all material should be compared to Eurasian material before it may be regarded as conspecific (Harrison 1961, Baird <em>et al</em>. 2013).<br/><br/>This assessment excludes the North American records."
70415439,Neolentiporus squamosellus,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,POLYPORALES,FOMITOPSIDACEAE,Neolentiporus,squamosellus,,,,,(Bernicchia &amp; Ryvarden) Bernicchia &amp; Ryvarden,
70417370,Entoloma excentricum,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,ENTOLOMATACEAE,Entoloma,excentricum,,,,,Bres.,"<em>Entoloma excentricum</em> Bres. is normally an easily recognizable species, both macroscopically and microscopically (Noordeloos 1992, Senn-Irlet and Wöltsche 2002). The species is described from Italy but the type does not exist (Noordeloos 1992). The taxonomic status of a few GBIF occurrences in North America is uncertain and not included here. There is hardly any evidence of European <em>Entoloma</em> species occurring in North America (M. Noordeloos pers. comm.). The type of <em>Entoloma excentricum var. porphyrocephalum</em> Noordel. &amp; Wölfel from Germany (Noordeloos 1982) is sequenced and shown to be a separate species which will need a new name (Bálint Dima pers. comm.) and this taxon is therefore not included here. It can be separated from <em>E. excentricum</em> by macroscopical and microscopical characters (Noordeloos 1982, 1992)."
70425822,Cortinarius odoratus,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,CORTINARIACEAE,Cortinarius,odoratus,,,,,(Joguet ex M.M.Moser) M.M.Moser,
70426142,Cortinarius prasinocyaneus,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,CORTINARIACEAE,Cortinarius,prasinocyaneus,,,,,Rob.Henry,
70427476,Ramaria roellinii,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,GOMPHALES,GOMPHACEAE,Ramaria,roellinii,,,,,Schild,"Records from Italy, France and Slovenia still unconfirmed and might consider closely related species. A similar species from Italy is described as <em>R. quercus-ilicis</em> (Schild 1998) and Mediterranean reports of <em>R. roellinii </em>might be this taxon. A closely related North American species is <em>R. murillii</em> which needs to be investigated and compared with <em>R. roellinii</em> (Christan 2002)."
71542492,Cetreliopsis papuae,FUNGI,ASCOMYCOTA,LECANOROMYCETES,LECANORALES,PARMELIACEAE,Cetreliopsis,papuae,,,,,Randlane &amp; Saag,
71542819,Cortinarius suaveolens,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,CORTINARIACEAE,Cortinarius,suaveolens,,,,,Bat. &amp; Joachim,
71567420,Echinodontium ballouii,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,RUSSULALES,ECHINODONTIACEAE,Echinodontium,ballouii,,,,,(Banker) H.L.Gross,"Described by Banker (1909) who, presciently doubting if this and <em>Echinodontium tinctorium</em> (generic type) were congeneric, assigned it to <em>Steccherinum</em>. It was recombined in <em>Echinodontium </em>by Gross (1964). However, DNA sequence data generated by Binder (reported in Shernoff 2007a) indicated that <em>E. ballouii</em> is closely related to <em>E. ryvardenii</em>. This, in turn, has been shown to be relatively distantly related to the type of the genus (Larsson &amp; Larsson 2003) and so both species will require a new generic name in due course. However this has no bearing on the conservation status of these fungi."
71568344,Geastrum hungaricum,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,GEASTRALES,GEASTRACEAE,Geastrum,hungaricum,,,,,Hollós,
71568683,Geastrum pouzarii,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,GEASTRALES,GEASTRACEAE,Geastrum,pouzarii,,,,,V.J.Staněk,Molecular data has confirmed the status of this species within <em>Geastrum</em> section <em>Campestria</em>. (Zamora <em>et al</em>. 2014).
71595761,Hygrocybe ingrata,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,HYGROPHORACEAE,Hygrocybe,ingrata,,,,,J.P.Jensen &amp; F.H.Møller,According to recent molecular research the species belongs to the genus&#160;<em>Neohygrocybe </em>and the correct name is in that case <em>Neohygrocybe ingrata</em>&#160;(J.L.Jensen &amp; F.H.Møller) Herink (Lodge <em>et al</em>. 2014).
71598360,Lenzitopsis oxycedri,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,THELEPHORALES,THELEPHORACEAE,Lenzitopsis,oxycedri,,,,,Malençon &amp; Bertault,"The original description of the species (Malençon &amp; Bertault, 1963) is based on specimen growing on <em>Juniperus oxycedrus</em> L. in Morocco. The first European record is from Spain, province Guadalajara, growing as a saprobe on <em>Juniperus thurifera</em> L. (Garcia-Manjon &amp; Moreno, 1981). Later, Ryvarden (1991) described a new genus<em> Lenzitella</em> Ryvarden to replace <em>Lenzitopsis</em> with the type species <em>Lenzitella malenconii</em> Ryvarden, a nom. nov. for <em>L. oxycedri</em>. However, Stalpers (1993) treated <em>Lenzitella </em>and <em>L. malenconii</em> as superfluous names and argued that “<em>Lenzitopsis </em>was published with one species only, which was newly described and thus the description of <em>L. oxycedri</em> meets the conditions for a descriptio generico-specifico (Art. 42.1) and thus both genus and species are validly published.” <em>Lenzitopsis</em> and <em>L. oxycedri</em> as the current names have been accepted here as in the other study (Dogan <em>et al</em>. 2007).<br/><br/><em>Lenzitopsis</em> was placed in Thelephoraceae because of brownish and echinulate spores (Malençon and Bertault 1963, Ryvarden and Gilbertson 1993, Stalpers 1993)."
71598929,Leptogium rivulare,FUNGI,ASCOMYCOTA,LECANOROMYCETES,PELTIGERALES,COLLEMATACEAE,Leptogium,rivulare,,,,,(Ach.) Mont.,
71605769,Lethariella togashii,FUNGI,ASCOMYCOTA,LECANOROMYCETES,LECANORALES,PARMELIACEAE,Lethariella,togashii,,,,,(Asahina) Krog,
71622372,Santessoniella crossophylla,FUNGI,ASCOMYCOTA,LECANOROMYCETES,PELTIGERALES,PANNARIACEAE,Santessoniella,crossophylla,,,,,(Tuck.) P.M.Jørg.,
71639618,Xanthoparmelia beccae,FUNGI,ASCOMYCOTA,LECANOROMYCETES,LECANORALES,PARMELIACEAE,Xanthoparmelia,beccae,,,,,Aptroot,
71670425,Sticta alpinotropica,FUNGI,ASCOMYCOTA,LECANOROMYCETES,PELTIGERALES,LOBARIACEAE,Sticta,alpinotropica,,,,,Aptroot,
73643293,Anthracoidea andina,FUNGI,BASIDIOMYCOTA,USTILAGINOMYCETES,USTILAGINALES,ANTHRACOIDEACEAE,Anthracoidea,andina,,,,,(Kukkonen) Vánky,
73661673,Anthracoidea ortegae,FUNGI,BASIDIOMYCOTA,USTILAGINOMYCETES,USTILAGINALES,ANTHRACOIDEACEAE,Anthracoidea,ortegae,,,,,Kukkonen,
73677552,Entyloma maroccanum,FUNGI,BASIDIOMYCOTA,EXOBASIDIOMYCETES,ENTYLOMATALES,ENTYLOMATACEAE,Entyloma,maroccanum,,,,,Maire,
73743179,Sporisorium elionuri-tristis,FUNGI,BASIDIOMYCOTA,USTILAGINOMYCETES,USTILAGINALES,USTILAGINACEAE,Sporisorium,elionuri-tristis,,,,,Vánky,
75095325,Aleurodiscus bernicchiae,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,RUSSULALES,STEREACEAE,Aleurodiscus,bernicchiae,,,,,"Gorjón, Gresl. &amp; Rajchenb.",The species is characterized by a cupuliform basidiome with cream to brownish colors. Micromorphologically it is characterized by subglobose ornamented basidiospores and especially by encrusted cystidia. This kind of encrusted cystidia is a previously unknown feature within <em>Aleurodiscus</em> s.l. (Gorjón <em>et al</em>. 2013). Described in Gorjón <em>et al</em>. (2013) based on collections made in 2011.
75097245,Armillaria ectypa,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,PHYSALACRIACEAE,Armillaria,ectypa,,,,,(Fr.) Lamoure,
75099337,Butyriboletus loyo,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,BOLETALES,BOLETACEAE,Butyriboletus,loyo,,,,,(Phillippi) Mikšík,
75101587,Cortinarius pavelekii,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,CORTINARIACEAE,Cortinarius,pavelekii,,,,,"(Trappe, Castellano &amp; P.Rawl.) Peintner &amp; M.M.Moser","This mycorrhizal, hypogeous, sequestrate species was originally described as <em>Thaxterogaster pavelekii</em> by Trappe, Castellano and P. Rawlinson in Trappe and Castellano (2000).&#160; It was recombined as <em>Cortinarius pavelekii </em>(Trappe, Castellano and P. Rawlinson) Peintner and Moser in Peintner, Moser and Vilgalys (2002)"
75102609,Echinodontium japonicum,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,RUSSULALES,ECHINODONTIACEAE,Echinodontium,japonicum,,,,,Imazeki,"<p>See Hattori and Ryvarden (1994) for morphological characters, and Tabata <em>et al</em>. (2000) for phylogenetic position.&#160;</p>"
75104087,Fomitopsis officinalis,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,POLYPORALES,FOMITOPSIDACEAE,Fomitopsis,officinalis,,,,,(Vill.) Bondartsev &amp; Singer,
75110094,Gastroboletus valdivianus,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,BOLETALES,BOLETACEAE,Gastroboletus,valdivianus,,,,,E. Horak,
75111171,Gastrolactarius camphoratus,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,RUSSULALES,RUSSULACEAE,Gastrolactarius,camphoratus,,,,,(Singer &amp; A.H.Sm.) J.M.Vidal,Originally described as <em>Elasmomyces camphoratus </em>by Singer and Smith (1960). Pegler and Young (1979) transferred it to <em>Arcangeliella</em> based on spore characteristics. Transferred to <em>Gastrolactarius </em>by Vidal (2004).
75115985,Hygrocybe swanetica,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,HYGROPHORACEAE,Hygrocybe,swanetica,,,,,Singer,
75117065,Lepiota brunneolilacea,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,AGARICACEAE,Lepiota,brunneolilacea,,,,,Bon &amp; Boiffard,
75118122,Phaeocollybia oregonensis,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,CORTINARIACEAE,Phaeocollybia,oregonensis,,,,,A.H.Sm. &amp; Trappe,
75118539,Phylloporus pelletieri,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,BOLETALES,BOLETACEAE,Phylloporus,pelletieri,,,,,(Lév.) Quél.,"In North America there are a few records under the name&#160;<em>Phylloporus&#160;pelletieri&#160;</em>that we are not considering in the present assessment. Some of these records are very old, and have not been confirmed through molecular evidence.<br/><br/><em>Phylloporus rhodoxanthus</em> is a similar but distinct American species confirmed by molecular studies (Neves <em>et al</em>. 2012). Furthermore, a number of Asian species are described in this paper, to which the reports of&#160;<em>P.&#160;pelletieri</em>&#160;from Japan, Korea, India, etc. might belong."
75118940,Gyromitra korshinskii,FUNGI,ASCOMYCOTA,PEZIZOMYCETES,PEZIZALES,DISCINACEAE,Gyromitra,korshinskii,,,,,Jacz.,"Originally described from North America by C. Peck in 1875 as <em>Helvella sphaerospora</em>. The monotypic genus <em>Pseudorhizina </em>was established by A. Jaczewski in 1913 based on single collection from Kazan (Russia) described as <em>P. korshinskii</em> Jacz. It is generally accepted that <em>P. korshinskii</em> and <em>Helvella sphaerospora</em> are synonymous, and thus the later name has priority. However conspecificity of European and North American populations is not verified by modern studies. Recent molecular phylogenetic reconstructions indicate that <em>Pseudorhizina</em> could be included in <em>Gyromitra </em>in rank of subgenus (Methven <em>et al</em>. 2013, Wang, Zhuang, 2018).<br/><br/>A similar Western North American species <em>Pseudorhizina californica</em> can be reliably distinguished by ellipsoid vs spherical ascospores."
75121617,Rhizopogon alexsmithii,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,BOLETALES,RHIZOPOGONACEAE,Rhizopogon,alexsmithii,,,,,(Trappe) Vizzini &amp; Zotti,Originally proposed as <em>Alpova alexsmithii</em> Trappe (1975).&#160; Transferred to Rhizopogon by Vizzini and Zotti (2010) based on molecular evidence.
75123278,Rubinoboletus rubinus,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,BOLETALES,BOLETACEAE,Rubinoboletus,rubinus,,,,,(W.G. Sm.) Pilát &amp; Dermek,
75124333,Sarcodon joeides,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,THELEPHORALES,BANKERACEAE,Sarcodon,joeides,,,,,(Pass.) Bataille,"Recent specimens from America analysed by sequences revealed <em>S. joeides</em> to be present together with a yet not described sister species. One old record from New Zealand (Maas Geesteranus, 1971) probably belongs to a different species. Sarcodon joeides in Europe may also contain cryptic species, however, here&#160; we consider it as one species."
75124883,Sarcodon leucopus,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,THELEPHORALES,BANKERACEAE,Sarcodon,leucopus,,,,,(Pers.) Maas Geest. &amp; Nannf.,
75608683,Buglossoporus magnus,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,POLYPORALES,FOMITOPSIDACEAE,Buglossoporus,magnus,,,,,Corner,"<p>This species was described as a member of <em>Buglossoporus </em>by Corner (1984). However, his genus concept is outdated, and <em>Buglossoporus</em> is probably not a proper genus to accommodate this species. This is most possibly a member of Fomitopsidaceae, but detailed phylogenetic studies are needed to reveal its phylogenetic position.</p>"
75720773,Claustula fischeri,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,PHALLALES,CLAUSTULACEAE,Claustula,fischeri,,,,,K.M. Curtis,"Monotypic genus, phylogenetically in Phallales. Described from New Zealand in 1926, and considered endemic until reported from the Australian island state of Tasmania in 1997. Mills <em>et al</em>. (1997) noted some morphological differences in Tasmanian specimens from descriptions of New Zealand material. No detailed comparison, morphological or molecular, has been made to test conspecificity of material from New Zealand and Tasmania. Macro-morphology of fruit-bodies indicate very close similarity."
75102369,Destuntzia rubra,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,GOMPHALES,GOMPHACEAE,Destuntzia,rubra,,,,,(Harkn.) Fogel &amp; Trappe,Originally described as <em>Hymenogaster ruber</em> by Harkness (1899). It was recombined as <em>Destuntzia rubra</em> (Harkn.) Fogel (1985). Fogel (1985) lists <em>Hymenogaster versicolor</em> Harkness as a synonym.
75723177,Fevansia aurantiaca,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,BOLETALES,RHIZOPOGONACEAE,Fevansia,aurantiaca,,,,,Trappe &amp; Castellano,"Described by Trappe and Castellano (2000).&#160; Recently discovered to be related to Albatrellaceae, Russulales (Smith <em>et al</em>. 2013)."
75725863,Grifola gargal,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,POLYPORALES,MERIPILACEAE,Grifola,gargal,,,,,Singer,
76170958,Hydnellum gracilipes,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,THELEPHORALES,BANKERACEAE,Hydnellum,gracilipes,,,,,(P. Karst.) P. Karst.,
76196246,Cortinarius cupreorufus,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,CORTINARIACEAE,Cortinarius,cupreorufus,,,,,Brandrud,
76196620,Cortinarius osloensis,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,CORTINARIACEAE,Cortinarius,osloensis,,,,,"Brandrud, T.S.Jeppesen &amp; Frøslev",
76214469,Hygrocybe spadicea,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,HYGROPHORACEAE,Hygrocybe,spadicea,,,,,(Scop.) P. Karst.,<em>Hygrocybe spadicea </em>is variable in some characters. In view of research in other species complexes of <em>Hygrocybe</em> it is unlikely that the few records of <em>H. spadicea </em>from North America and New Zealand represent the same biological species as in Eurasia. These records are not considered here.
76265852,Tricholoma acerbum,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,TRICHOLOMATACEAE,Tricholoma,acerbum,,,,,(Bull.) Quél.,
76266962,Tricholoma borgsjoeënse,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,TRICHOLOMATACEAE,Tricholoma,borgsjoeënse,,,,,Jacobsson &amp; Muskos,
79515429,Cortinarius citrino-olivaceus,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,CORTINARIACEAE,Cortinarius,citrino-olivaceus,,,,,Moser,
79515478,Tricholoma apium,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,TRICHOLOMATACEAE,Tricholoma,apium,,,,,Jul. Schäff.,
80188416,Lactarius novae-zelandiae,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,RUSSULALES,RUSSULACEAE,Lactarius,novae-zelandiae,,,,,McNabb,
80702763,Acanthothecis leucoxanthoides,FUNGI,ASCOMYCOTA,LECANOROMYCETES,OSTROPALES,GRAPHIDACEAE,Acanthothecis,leucoxanthoides,,,,,Lendemer &amp; R.C.Harris,
80702772,Acanthothecis paucispora,FUNGI,ASCOMYCOTA,LECANOROMYCETES,OSTROPALES,GRAPHIDACEAE,Acanthothecis,paucispora,,,,,Lendemer &amp; R.C.Harris,
